                                    USC Unified CodeCount (UCC)                                    
                    (c) Copyright 1998 - 2013 University of Southern California                    

                                   CYCLOMATIC COMPLEXITY RESULTS                                   
                             Generated by UCC v.2014.08f on 10 17 2015                             
                        GUCC -outdir D:\Development\ucc_2014.08zf\count_out                        

                                          RESULTS BY FILE                                          

Cyclomatic Complexity
Total(CC1),Total(CC2),Total(CC3),Average(CC1),Risk,File Name
1,1,1,Low,Broadphase,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Broadphase.prototype.setWorld,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Broadphase.prototype.getCollisionPairs,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Broadphase.boundingRadiusCheck,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Broadphase.aabbCheck,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,2,Low,Broadphase.prototype.boundingVolumeCheck,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,15,6,Low,Broadphase.canCollide,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,NaiveBroadphase,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,5,4,Low,NaiveBroadphase.prototype.getCollisionPairs,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,5,4,Low,NaiveBroadphase.prototype.aabbQuery,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Narrowphase,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,Narrowphase.prototype.bodiesOverlap,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Narrowphase.prototype.collidedLastStep,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,Narrowphase.prototype.reset,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Narrowphase.prototype.createContactEquation,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Narrowphase.prototype.createFrictionEquation,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Narrowphase.prototype.createFrictionFromContact,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,Narrowphase.prototype.createFrictionFromAverage,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Narrowphase.prototype.convexLine,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Narrowphase.prototype.lineBox,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,setConvexToCapsuleShapeMiddle,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,4,2,Low,Narrowphase.prototype.convexCapsule,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Narrowphase.prototype.lineCapsule,D:\Development\GitHub\Space_Invaders\source\phaser.js
14,18,14,Medium,Narrowphase.prototype.capsuleCapsule,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Narrowphase.prototype.lineLine,D:\Development\GitHub\Space_Invaders\source\phaser.js
9,10,9,Low,Narrowphase.prototype.planeLine,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Narrowphase.prototype.particleCapsule,D:\Development\GitHub\Space_Invaders\source\phaser.js
10,12,10,Low,Narrowphase.prototype.circleLine,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Narrowphase.prototype.circleCapsule,D:\Development\GitHub\Space_Invaders\source\phaser.js
13,13,13,Medium,Narrowphase.prototype.circleConvex,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,pointInConvex,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,7,7,Low,Narrowphase.prototype.particleConvex,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,6,4,Low,Narrowphase.prototype.circleCircle,D:\Development\GitHub\Space_Invaders\source\phaser.js
8,9,8,Low,Narrowphase.prototype.planeConvex,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,5,4,Low,Narrowphase.prototype.particlePlane,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,Narrowphase.prototype.circleParticle,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,7,6,Low,Narrowphase.prototype.planeCapsule,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,5,4,Low,Narrowphase.prototype.circlePlane,D:\Development\GitHub\Space_Invaders\source\phaser.js
16,21,16,Medium,Narrowphase.prototype.convexConvex,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,7,5,Low,Narrowphase.projectConvexOntoAxis,D:\Development\GitHub\Space_Invaders\source\phaser.js
15,18,15,Medium,Narrowphase.findSeparatingAxis,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,5,4,Low,Narrowphase.getClosestEdge,D:\Development\GitHub\Space_Invaders\source\phaser.js
18,21,18,Medium,Narrowphase.prototype.circleHeightfield,D:\Development\GitHub\Space_Invaders\source\phaser.js
9,9,9,Low,convexHeightfield_tilePos,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Ray,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Ray.prototype.update,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,5,3,Low,Ray.prototype.intersectBodies,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,9,6,Low,Ray.prototype.intersectBody,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Ray.prototype.intersectShape,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Ray.prototype.getAABB,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,8,4,Low,Ray.prototype.reportIntersection,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,distanceFromIntersectionSquared,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,RaycastResult,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,RaycastResult.prototype.reset,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,RaycastResult.prototype.getHitDistance,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,RaycastResult.prototype.hasHit,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,RaycastResult.prototype.getHitPoint,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,RaycastResult.prototype.stop,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,3,1,Low,RaycastResult.prototype.shouldStop,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,RaycastResult.prototype.set,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,SAPBroadphase,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,SAPBroadphase.prototype.setWorld,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,SAPBroadphase.sortAxisList,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,SAPBroadphase.prototype.sortList,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,8,7,Low,SAPBroadphase.prototype.getCollisionPairs,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,7,6,Low,SAPBroadphase.prototype.aabbQuery,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,Constraint,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Constraint.prototype.update,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Constraint.prototype.setStiffness,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Constraint.prototype.setRelaxation,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,DistanceConstraint,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,8,6,Low,DistanceConstraint.prototype.update,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,DistanceConstraint.prototype.setMaxForce,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,DistanceConstraint.prototype.getMaxForce,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,5,4,Low,GearConstraint,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,GearConstraint.prototype.update,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,GearConstraint.prototype.setMaxTorque,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,GearConstraint.prototype.getMaxTorque,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,6,4,Low,LockConstraint,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,LockConstraint.prototype.setMaxForce,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,LockConstraint.prototype.getMaxForce,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,LockConstraint.prototype.update,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,PrismaticConstraint,D:\Development\GitHub\Space_Invaders\source\phaser.js
8,10,8,Low,PrismaticConstraint.prototype.update,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,PrismaticConstraint.prototype.enableMotor,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,PrismaticConstraint.prototype.disableMotor,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,PrismaticConstraint.prototype.setLimits,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,4,3,Low,RevoluteConstraint,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,RevoluteConstraint.prototype.setLimits,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,9,7,Low,RevoluteConstraint.prototype.update,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,RevoluteConstraint.prototype.enableMotor,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,RevoluteConstraint.prototype.disableMotor,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,RevoluteConstraint.prototype.motorIsEnabled,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,RevoluteConstraint.prototype.setMotorSpeed,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,RevoluteConstraint.prototype.getMotorSpeed,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,4,2,Low,AngleLockEquation,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,AngleLockEquation.prototype.computeGq,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,AngleLockEquation.prototype.setRatio,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,AngleLockEquation.prototype.setMaxTorque,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,ContactEquation,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,ContactEquation.prototype.computeB,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,Equation,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Equation.prototype.update,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Equation.prototype.gmult,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Equation.prototype.computeB,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Equation.prototype.computeGq,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Equation.prototype.computeGW,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Equation.prototype.computeGWlambda,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Equation.prototype.computeGiMf,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Equation.prototype.computeGiMGt,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Equation.prototype.addToWlambda,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Equation.prototype.computeInvC,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,FrictionEquation,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,FrictionEquation.prototype.setSlipForce,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,FrictionEquation.prototype.getSlipForce,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,FrictionEquation.prototype.computeB,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,3,1,Low,RotationalLockEquation,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,RotationalLockEquation.prototype.computeGq,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,RotationalVelocityEquation,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,RotationalVelocityEquation.prototype.computeB,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,var EventEmitter,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,5,4,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,6,5,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
9,11,9,Low,ContactMaterial,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,2,1,Low,Material,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,PolyK.GetArea,D:\Development\GitHub\Space_Invaders\source\phaser.js
10,12,10,Low,PolyK.Triangulate,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,3,1,Low,PolyK._PointInTriangle,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,PolyK._convex,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.crossLength,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.crossVZ,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.crossZV,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,vec2.rotate,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.rotate90cw,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.toLocalFrame,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.toGlobalFrame,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.vectorToLocalFrame,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.vectorToGlobalFrame,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.centroid,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.create,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.clone,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.fromValues,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.copy,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.set,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.add,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.subtract,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.multiply,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.divide,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.scale,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.distance,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.squaredDistance,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.length,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.squaredLength,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.negate,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,vec2.normalize,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.dot,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.str,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.lerp,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,vec2.reflect,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,vec2.getLineSegmentsIntersection,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,5,2,Low,vec2.getLineSegmentsIntersectionFraction,D:\Development\GitHub\Space_Invaders\source\phaser.js
15,21,15,Medium,Body,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,Body.prototype.updateSolveMassProperties,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Body.prototype.setDensity,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Body.prototype.getArea,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Body.prototype.getAABB,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,Body.prototype.updateAABB,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,Body.prototype.updateBoundingRadius,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,4,3,Low,Body.prototype.addShape,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Body.prototype.removeShape,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,8,7,Low,Body.prototype.updateMassProperties,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Body.prototype.applyForce,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,2,1,Low,Body.prototype.applyForceLocal,D:\Development\GitHub\Space_Invaders\source\phaser.js
3,3,3,Low,Body.prototype.applyImpulse,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,2,1,Low,Body.prototype.applyImpulseLocal,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Body.prototype.toLocalFrame,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Body.prototype.toWorldFrame,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Body.prototype.vectorToLocalFrame,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Body.prototype.vectorToWorldFrame,D:\Development\GitHub\Space_Invaders\source\phaser.js
9,10,9,Low,Body.prototype.fromPolygon,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,5,4,Low,Body.prototype.adjustCenterOfMass,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Body.prototype.setZeroForce,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Body.prototype.resetConstraintVelocity,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Body.prototype.addConstraintVelocity,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Body.prototype.applyDamping,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Body.prototype.wakeUp,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Body.prototype.sleep,D:\Development\GitHub\Space_Invaders\source\phaser.js
5,6,5,Low,Body.prototype.sleepTick,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Body.prototype.overlaps,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,4,4,Low,Body.prototype.integrate,D:\Development\GitHub\Space_Invaders\source\phaser.js
7,10,7,Low,Body.prototype.integrateToTimeOfImpact,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Body.prototype.getVelocityAtPoint,D:\Development\GitHub\Space_Invaders\source\phaser.js
6,7,6,Low,LinearSpring,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,LinearSpring.prototype.setWorldAnchorA,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,LinearSpring.prototype.setWorldAnchorB,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,LinearSpring.prototype.getWorldAnchorA,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,LinearSpring.prototype.getWorldAnchorB,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,LinearSpring.prototype.applyForce,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,RotationalSpring,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,RotationalSpring.prototype.applyForce,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Spring,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Spring.prototype.applyForce,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,TopDownVehicle,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,3,2,Low,TopDownVehicle.prototype.addToWorld,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,TopDownVehicle.prototype.removeFromWorld,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,TopDownVehicle.prototype.addWheel,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,TopDownVehicle.prototype.update,D:\Development\GitHub\Space_Invaders\source\phaser.js
4,5,4,Low,WheelConstraint,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,WheelConstraint.prototype.setBrakeForce,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,WheelConstraint.prototype.setSideFriction,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,WheelConstraint.prototype.getSpeed,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,WheelConstraint.prototype.update,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,6,2,Low,Box,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Box.prototype.computeMomentOfInertia,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Box.prototype.updateBoundingRadius,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Box.prototype.computeAABB,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Box.prototype.updateArea,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,6,2,Low,Capsule,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Capsule.prototype.computeMomentOfInertia,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Capsule.prototype.updateBoundingRadius,D:\Development\GitHub\Space_Invaders\source\phaser.js
1,1,1,Low,Capsule.prototype.updateArea,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,2,2,Low,Capsule.prototype.computeAABB,D:\Development\GitHub\Space_Invaders\source\phaser.js
15,17,15,Medium,Capsule.prototype.raycast,D:\Development\GitHub\Space_Invaders\source\phaser.js
2,4,2,Low,Circle,D:\Development\GitHub\Space_Invaders\source\phaser.js
